0,None
1,攻擊
2,挑戰者
3,無傷
4,怨恨
5,死裡逃生
6,看破
7,超會心
8,弱點特效
9,力量解放
10,精神抖擻
11,會心擊【屬性】
12,達人藝
13,火屬性攻擊強化
14,水屬性攻擊強化
15,冰屬性攻擊強化
16,雷屬性攻擊強化
17,龍屬性攻擊強化
18,毒屬性強化
19,麻痺屬性強化
20,睡眠屬性強化
21,爆破屬性強化
22,匠
23,利刃
24,彈藥節約
25,剛刃研磨
26,心眼
27,彈道強化
28,鈍器能手
29,Null29
30,集中
31,強化持續
32,跑者
33,體術
34,耐力急速回復
35,防禦性能
36,防禦強化
37,攻擊守勢
38,拔刀術【技】
39,拔刀術【力】
40,Quick Sheath
41,KO術
42,奪取耐力
43,滑走強化
44,吹笛名人
45,砲術
46,砲彈裝填
47,特殊射擊強化
48,通常彈･連射箭強化
49,貫通彈･貫通箭強化
50,散彈･擴散箭強化
51,裝填擴充
52,裝填速度
53,後座力減輕
54,抑制偏移
55,速射強化
56,防禦
57,精靈加護
58,體力回復量UP
59,回復速度
60,快吃
61,耳塞
62,風壓耐性
63,耐震
64,泡沫之舞
65,迴避性能
66,迴避距離UP
67,火耐性
68,水耐性
69,冰耐性
70,雷耐性
71,龍耐性
72,屬性異常狀態的耐性
73,毒耐性
74,麻痺耐性
75,睡眠耐性
76,昏厥耐性
77,泥雪耐性
78,爆破異常狀態的耐性
79,植生學
80,地質學
81,破壞王
82,Null82
83,Null83
84,幸運
85,砥石使用高速化
86,炸彈客
87,最愛菇類
88,道具使用強化
89,廣域化
90,滿足感
91,火場怪力
92,不屈
93,減輕膽怯
94,跳躍鐵人
95,剝取鐵人
96,飢餓耐性
97,飛身躍入
98,佯攻
99,騎乘名人
100,Null100
101,Null101
102,Null102
103,Null103
104,翔蟲能手
105,飛簷走壁
106,逆襲
107,高速變形
108,鬼火纏身
